BatchID,NumProcesses,AvgPriority,AvgBurstTime,AvgArrivalTime,BestAlgo,AWT,ATAT,ART
794,10,4.4,15.4,116104.8,SRTF,25.4,40.8,24.9
795,10,4.6,16.2,116153.1,SRTF,27.3,43.5,24
796,10,4.4,18.9,116188.9,SRTF,53.7,72.6,52.1
797,10,5,14.1,116435.9,RR,1.1,15.2,0.5
798,10,3.6,15.5,116741,FCFS,4.6,20.1,4.6
799,10,3.9,23.6,116973.5,SRTF,12.7,36.3,12.2
800,10,4.4,16.2,117111.2,SRTF,9.5,25.7,5.1
801,10,4.7,18.2,117213.6,SRTF,9.1,27.3,1
802,10,4.8,13.8,117285.6,SRTF,19.9,33.7,16.3
803,10,4.4,13.2,117316.9,SRTF,28.1,41.3,15
804,10,3.3,15.6,117369.6,SRTF,19.6,35.2,14.3
805,10,4.9,15.2,117641.4,FCFS,0.9,16.1,0.9
806,10,4.4,14.8,118060.8,SRTF,2,16.8,0.8
807,10,5.5,11,118263.7,SJF,3.6,14.6,3.6
808,10,5.6,17.4,118408.4,SRTF,13.9,31.3,11.9
809,10,4.2,27.4,118479.3,SRTF,56.4,83.8,39.9
810,10,5.3,9.7,118545.4,SJF,8,17.7,8
811,10,4.4,22,118589.1,SRTF,18.8,40.8,16.4
812,10,3.8,26.3,118628,SRTF,54.6,80.9,53.1
813,10,6.2,14.7,118836.1,FCFS,0.9,15.6,0.9
814,10,3.5,14.8,119175.9,FCFS,4.9,19.7,4.9
815,10,4.8,16.6,119345.8,SRTF,12.4,29,11
816,10,5.6,20.2,119441.5,RR,54.1,74.3,8.9
817,10,4.7,22.7,119531.2,SRTF,32.3,55,29.6
818,10,4.6,24.3,119570,SRTF,52.2,76.5,39.5
819,10,4.9,22.2,119611,SRTF,25.1,47.3,13
820,10,5.1,26.8,119661.8,SRTF,45.4,72.2,38.9
821,10,5.7,15.1,119772,SRTF,9.8,24.9,8.6
822,10,5.2,15.5,120065,FCFS,2.1,17.6,2.1
823,10,4.9,15.3,120252.6,SRTF,8,23.3,5.6
824,10,5.7,11.5,120339.3,SJF,15.5,27,15.5
825,10,5.2,25,120421.9,SRTF,13.5,38.5,11.7
826,10,5.5,13.1,120492.3,SRTF,18.6,31.7,18.5
